,Name,Text,Time
76,Mark Pocan,"What @AIPAC doesn’t tell you is they raise money from big Republican donors &amp; spend it in Democratic primaries against Democrats. It’s a cynical, undemocratic strategy. And since they clearly don’t care about dead, kids, it’s all about backing a conservative Netanyahu position.",2023-11-01 13:52:50+00:00
77,Alexandria Ocasio-Cortez,"RT @jdakwar: ACLU to 650 college and university leaders: Reject calls to investigate, disband, or penalize pro-Palestinian student groups for exercising their free speech rights. https://t.co/bow8O5lmlY https://t.co/6ld8qEJRAc",2023-11-01 21:16:24+00:00
78,Jamil Dakwar,"ACLU to 650 college and university leaders: Reject calls to investigate, disband, or penalize pro-Palestinian student groups for exercising their free speech rights. https://t.co/bow8O5lmlY https://t.co/6ld8qEJRAc",2023-11-01 20:34:17+00:00
79,Alexandria Ocasio-Cortez,"Honored to work with you on this, @tedlieu!",2023-11-01 18:36:45+00:00
80,Ted Lieu,"Honored to introduce legislation with @AOC to reduce sexual harassment in the workplace. The bill requires publicly traded companies to disclose the existence/status of sexual harassment and discrimination claims, and any settlements paid out to victims.

https://t.co/jRiYXvsYl0",2023-11-01 14:58:20+00:00
81,Alexandria Ocasio-Cortez,"RT @tedlieu: Honored to introduce legislation with @AOC to reduce sexual harassment in the workplace. The bill requires publicly traded companies to disclose the existence/status of sexual harassment and discrimination claims, and any settlements paid out to victims.

https://t.co/jRiYXvsYl0",2023-11-01 18:31:30+00:00
82,Alexandria Ocasio-Cortez,"Rep @MarkPocan is right. 

It is past time for us to recognize how toxic of a presence AIPAC has been in our political system.

They actively boost candidates who tried to overthrow the US election &amp; run smear campaigns on members of Congress who stand up for human rights. Enough",2023-11-01 14:49:13+00:00
83,Alexandria Ocasio-Cortez,"RT @MarkPocan: Got to admit, this sums up how many feel about what @AIPAC really is about. Insurrectionists, WTF. No friend of democracy.",2023-11-01 04:41:10+00:00
84,Mark Pocan,"Got to admit, this sums up how many feel about what @AIPAC really is about. Insurrectionists, WTF. No friend of democracy.",2023-11-01 04:15:07+00:00
85,Alexandria Ocasio-Cortez,"Presenting: Team AOC's 2022 Unwrapped! 🎁

Ever wonder what your Representative has been up to? We're proud to share our annual report to constituents and supporters across the country!

Here's our 22 Wins for 2022🏆
Want to help for 2023? Share + sign up: https://t.co/0o7guZ7Hbm https://t.co/ucb6Hcd6Ai",2022-12-21 18:18:34+00:00
86,Alexandria Ocasio-Cortez,"RT @justicedems: In fact, AIPAC endorsed 109 Republican members of Congress that voted to overturn Joe Biden’s election—including the current Speaker Mike Johnson.",2023-11-01 01:54:49+00:00
87,Justice Democrats,"In fact, AIPAC endorsed 109 Republican members of Congress that voted to overturn Joe Biden’s election—including the current Speaker Mike Johnson.",2023-11-01 01:43:28+00:00
