,Name,Text,Time
59,Mark Pocan,"The truth: @AIPAC is a conservative org, raising money from rich Republicans &amp; tries to buy Democratic primaries with it. It distorts campaign finance law in the worst way. Their big money influence is toxic to democracy. Forget what they claim, look at their record. Toxic money.",2023-11-24 16:01:31+00:00
60,AIPAC | Text ISRAEL to 24722 | #StandWithIsrael,"AIPAC supports candidates of all races, genders, or backgrounds—including progressive women of color—who support a strong U.S.-Israel alliance.

We oppose anti-Israel candidates, no matter their race, gender, or background.",2023-11-24 15:03:22+00:00
61,Ilhan Omar,"RT @AJEnglish: Israel and Hamas’ four-day truce is set to begin on Friday at 7am local time in Gaza. 

Majed al-Ansari, the spokesperson for Qatar’s foreign ministry lays out the main points of the deal ⤵️ https://t.co/dk5gnbDjq5",2023-11-23 19:56:02+00:00
62,Al Jazeera English,"Israel and Hamas’ four-day truce is set to begin on Friday at 7am local time in Gaza. 

Majed al-Ansari, the spokesperson for Qatar’s foreign ministry lays out the main points of the deal ⤵️ https://t.co/dk5gnbDjq5",2023-11-23 18:30:00+00:00
63,Ilhan Omar,"RT @amanpour: “The worst ever.” Those are the stark words of @UNReliefChief Martin Griffiths, about the death and destruction in Gaza. Having worked in the field for decades, he adds “I don’t say that lightly.” Watch our full conversation. https://t.co/FMo6ZqKYUo",2023-11-23 14:22:47+00:00
64,Christiane Amanpour,"“The worst ever.” Those are the stark words of @UNReliefChief Martin Griffiths, about the death and destruction in Gaza. Having worked in the field for decades, he adds “I don’t say that lightly.” Watch our full conversation. https://t.co/FMo6ZqKYUo",2023-11-22 15:08:32+00:00
65,Ilhan Omar,"RT @AliVelshi: @RitchieTorres They are not, @RitchieTorres. I was stopped at one and not allowed to proceed because I am Muslim. My wife, who is Jewish was allowed to pass.",2023-11-23 04:29:08+00:00
66,Ali Velshi,"@RitchieTorres They are not, @RitchieTorres. I was stopped at one and not allowed to proceed because I am Muslim. My wife, who is Jewish was allowed to pass.",2023-11-22 20:35:53+00:00
67,Ilhan Omar,"RT @AOC: The fact that in the US just *1* wealthy person can make a call and offer millions to unseat an official they dislike tells you everything about the corruption of our politics.

It also tells you why the tiny # of members who have managed to beat them are seen as such a threat.",2023-11-23 02:16:33+00:00
68,Alexandria Ocasio-Cortez,"The fact that in the US just *1* wealthy person can make a call and offer millions to unseat an official they dislike tells you everything about the corruption of our politics.

It also tells you why the tiny # of members who have managed to beat them are seen as such a threat.",2023-11-22 22:52:44+00:00
69,Nicholas Wu,"NEWS - A Michigan businessman called Dem Senate candidate Hill Harper to offer $20M in campaign contributions if he agreed to drop out and instead mount a primary challenge to Rep. Rashida Tlaib, per source w/ direct knowledge of call 
w/ @UrsulaPerano 
https://t.co/zoYPDgv5ng",2023-11-22 17:41:06+00:00
70,Ilhan Omar,This is what integrity looks like. Bravo!,2023-11-22 21:54:59+00:00
